organisation name,clean_key,country head office,lobbying costs,EP passes,# of meetings,registered date
Centre for European Policy Studies,centre for european policy studies,Belgium,"< 9,999",0,50,09-16-11
Ludwig von Mises Institute,ludwig von mises institute,Belgium,"< 9,999",1,0,03-02-17
APCO Worldwide,apco worldwide,United States,2500000 - 2749000,32,10,02-06-09
European Policy Centre,european policy centre,Belgium,2250000 - 2499999,0,29,01-22-09
Friedrich-Naumann-Stiftung für die Freiheit,friedrich-naumann-stiftung für die freiheit,Germany,600000 - 699999,5,2,09-16-11
Open Europe,open europe,United Kingdom,600000 - 699999,0,9,11-28-11
European Climate Foundation,european climate foundation,Netherlands,400000 - 499999,2,65,04-14-09
Corporate Europe Observatory,corporate europe observatory,Belgium,242652,5,11,09-05-08
Sense About Science,sense about science,United Kingdom,100000 - 199999,1,2,03-30-16
Zentrum für Europäische Wirtschaftsforschung,zentrum für europäische wirtschaftsforschung,Germany,100000 - 199999,0,4,04-22-16
Center for Strategic and International Studies,center for strategic and international studies,United States,50000 - 99999,0,2,02-02-15
Lithuanian Free Market Institute,lithuanian free market institute,Lithuania,25000 - 49999,0,0,10-08-15
European Platform Against Windfarms,european platform against windfarms,Ireland,"< 9,999",0,0,01-24-12
Bundesverband der Deutschen Industrie e.V.,bundesverband der deutschen industrie e.v.,Germany,2750000 - 2999999,10,75,12-10-08
Deutscher Industrie- und Handelskammertag e.V.,deutscher industrie- und handelskammertag e.v.,Germany,2568000,15,44,02-20-09
Climate Action Network Europe,climate action network europe,Belgium,1000000 - 1249999,10,71,02-11-09
Verbraucherzentrale Bundesverband,verbraucherzentrale bundesverband,Germany,1000000 - 1249999,24,9,12-09-08
Institut der deutschen Wirtschaft Köln e.V.,institut der deutschen wirtschaft köln e.v.,Germany,50000 - 99999,2,9,01-29-15
Freedom Organisation for the Right to Enjoy Smoking Tobacco in the European Union,freedom organisation for the right to enjoy smoking tobacco in the european union,United Kingdom,37500,0,0,03-24-17
Institute for International Economic Studies,institute for international economic studies,Japan,10000 - 24999,0,1,11-26-15
Natuur & Milieu,natuur & milieu,Netherlands,"< 9,999",0,3,03-07-11
